Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2,0,913.3,10959.60,USD,"Operating system (Linux), Quantity (10), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.xlarge)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,554.8200000000000,6657.84,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Quantity (2), Instance type (db.m5.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (100 GB)"
My Estimate,US East (N. Virginia),,S3 Standard,0,1740.8,20889.60,USD,S3 Standard storage (75 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,1356.8,16281.60,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Internet (15 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,987.3,11847.60,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,98.35,1180.20,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,77.87,934.44,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (10 TB per month)"
